Simulation started at 0 with time steps from 0 to 10.
Initial probability density range: vmin=4.810183784379681e-86, vmax=0.6355882989985056.
Step 71, Time = 0.07, ProbDensSum = 1.0000, Center = (0.9261, 2.6204)
Step 72, Time = 0.07, ProbDensSum = 1.0000, Center = (0.9094, 2.6255)
Step 73, Time = 0.07, ProbDensSum = 1.0000, Center = (0.8927, 2.6305)
Step 74, Time = 0.07, ProbDensSum = 1.0000, Center = (0.8760, 2.6354)
Step 75, Time = 0.08, ProbDensSum = 1.0000, Center = (0.8593, 2.6402)
Step 76, Time = 0.08, ProbDensSum = 1.0000, Center = (0.8425, 2.6449)
Step 77, Time = 0.08, ProbDensSum = 1.0000, Center = (0.8258, 2.6495)
Step 78, Time = 0.08, ProbDensSum = 1.0000, Center = (0.8090, 2.6539)
Step 79, Time = 0.08, ProbDensSum = 1.0000, Center = (0.7921, 2.6583)
Step 80, Time = 0.08, ProbDensSum = 1.0000, Center = (0.7753, 2.6626)
Snapshot saved for time step 80.
Step 81, Time = 0.08, ProbDensSum = 1.0000, Center = (0.7584, 2.6667)
Step 82, Time = 0.08, ProbDensSum = 1.0000, Center = (0.7416, 2.6708)
Step 83, Time = 0.08, ProbDensSum = 1.0000, Center = (0.7246, 2.6747)
Step 84, Time = 0.08, ProbDensSum = 1.0000, Center = (0.7077, 2.6785)
Step 85, Time = 0.09, ProbDensSum = 1.0000, Center = (0.6908, 2.6822)
Step 86, Time = 0.09, ProbDensSum = 1.0000, Center = (0.6738, 2.6859)
Step 87, Time = 0.09, ProbDensSum = 1.0000, Center = (0.6569, 2.6894)
Step 88, Time = 0.09, ProbDensSum = 1.0000, Center = (0.6399, 2.6928)
Step 89, Time = 0.09, ProbDensSum = 1.0000, Center = (0.6229, 2.6961)
Step 90, Time = 0.09, ProbDensSum = 1.0000, Center = (0.6059, 2.6993)
Snapshot saved for time step 90.
Step 91, Time = 0.09, ProbDensSum = 1.0000, Center = (0.5888, 2.7023)
Step 92, Time = 0.09, ProbDensSum = 1.0000, Center = (0.5718, 2.7053)
Step 93, Time = 0.09, ProbDensSum = 1.0000, Center = (0.5547, 2.7082)
Step 94, Time = 0.09, ProbDensSum = 1.0000, Center = (0.5377, 2.7109)
Step 95, Time = 0.10, ProbDensSum = 1.0000, Center = (0.5206, 2.7136)
Step 96, Time = 0.10, ProbDensSum = 1.0000, Center = (0.5035, 2.7161)
Step 97, Time = 0.10, ProbDensSum = 1.0000, Center = (0.4864, 2.7185)
Step 98, Time = 0.10, ProbDensSum = 1.0000, Center = (0.4693, 2.7209)
Step 99, Time = 0.10, ProbDensSum = 1.0000, Center = (0.4522, 2.7231)
Step 100, Time = 0.10, ProbDensSum = 1.0000, Center = (0.4351, 2.7252)
Snapshot saved for time step 100.
Step 101, Time = 0.10, ProbDensSum = 1.0000, Center = (0.4180, 2.7272)
Step 102, Time = 0.10, ProbDensSum = 1.0000, Center = (0.4008, 2.7291)
Step 103, Time = 0.10, ProbDensSum = 1.0000, Center = (0.3837, 2.7308)
Step 104, Time = 0.10, ProbDensSum = 1.0000, Center = (0.3666, 2.7325)
Step 105, Time = 0.11, ProbDensSum = 1.0000, Center = (0.3494, 2.7341)
Step 106, Time = 0.11, ProbDensSum = 1.0000, Center = (0.3323, 2.7355)
Step 107, Time = 0.11, ProbDensSum = 1.0000, Center = (0.3151, 2.7369)
Step 108, Time = 0.11, ProbDensSum = 1.0000, Center = (0.2980, 2.7381)
Step 109, Time = 0.11, ProbDensSum = 1.0000, Center = (0.2808, 2.7393)
Step 110, Time = 0.11, ProbDensSum = 1.0000, Center = (0.2637, 2.7403)
Snapshot saved for time step 110.
Step 111, Time = 0.11, ProbDensSum = 1.0000, Center = (0.2465, 2.7412)
Step 112, Time = 0.11, ProbDensSum = 1.0000, Center = (0.2294, 2.7420)
Step 113, Time = 0.11, ProbDensSum = 1.0000, Center = (0.2123, 2.7427)
Step 114, Time = 0.11, ProbDensSum = 1.0000, Center = (0.1951, 2.7433)
Step 115, Time = 0.12, ProbDensSum = 1.0000, Center = (0.1780, 2.7438)
Step 116, Time = 0.12, ProbDensSum = 1.0000, Center = (0.1608, 2.7442)
Step 117, Time = 0.12, ProbDensSum = 1.0000, Center = (0.1437, 2.7445)
Step 118, Time = 0.12, ProbDensSum = 1.0000, Center = (0.1266, 2.7446)
Step 119, Time = 0.12, ProbDensSum = 1.0000, Center = (0.1095, 2.7447)
Step 120, Time = 0.12, ProbDensSum = 1.0000, Center = (0.0924, 2.7446)
Snapshot saved for time step 120.
Step 121, Time = 0.12, ProbDensSum = 1.0000, Center = (0.0753, 2.7445)
Step 122, Time = 0.12, ProbDensSum = 1.0000, Center = (0.0582, 2.7442)
Step 123, Time = 0.12, ProbDensSum = 1.0000, Center = (0.0411, 2.7438)
Step 124, Time = 0.12, ProbDensSum = 1.0000, Center = (0.0240, 2.7433)
Step 125, Time = 0.13, ProbDensSum = 1.0000, Center = (0.0069, 2.7427)
Step 126, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.0101, 2.7421)
Step 127, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.0272, 2.7412)
Step 128, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.0442, 2.7403)
Step 129, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.0612, 2.7393)
Step 130, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.0782, 2.7382)
Snapshot saved for time step 130.
Step 131, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.0952, 2.7370)
Step 132, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.1122, 2.7356)
Step 133, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.1291, 2.7342)
Step 134, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.1461, 2.7326)
Step 135, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.1630, 2.7310)
Step 136, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.1799, 2.7292)
Step 137, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.1968, 2.7274)
Step 138, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.2137, 2.7254)
Step 139, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.2305, 2.7233)
Step 140, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.2473, 2.7211)
Snapshot saved for time step 140.
Step 141, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.2641, 2.7189)
Step 142, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.2809, 2.7165)
Step 143, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.2977, 2.7140)
Step 144, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.3144, 2.7114)
Step 145, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.3311, 2.7087)
Step 146, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.3478, 2.7058)
Step 147, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.3645, 2.7029)
Step 148, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.3811, 2.6999)
Step 149, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.3977, 2.6968)
Step 150, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.4143, 2.6936)
Snapshot saved for time step 150.
Step 151, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.4309, 2.6902)
Step 152, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.4474, 2.6868)
Step 153, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.4639, 2.6833)
Step 154, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.4804, 2.6796)
Step 155, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.4968, 2.6759)
Step 156, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.5132, 2.6721)
Step 157, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.5296, 2.6681)
Step 158, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.5459, 2.6641)
Step 159, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.5622, 2.6599)
Step 160, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.5785, 2.6557)
Snapshot saved for time step 160.
Step 161, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.5947, 2.6513)
Step 162, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.6109, 2.6469)
Step 163, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.6271, 2.6423)
Step 164, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.6432, 2.6377)
Step 165, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.6593, 2.6329)
Step 166, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.6754, 2.6281)
Step 167, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.6914, 2.6231)
Step 168, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7074, 2.6181)
Step 169, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7233, 2.6129)
Step 170, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7392, 2.6077)
Snapshot saved for time step 170.
Step 171, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7551, 2.6023)
Step 172, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7709, 2.5969)
Step 173, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7867, 2.5913)
Step 174, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.8024, 2.5857)
Step 175, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.8181, 2.5800)
Step 176, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.8338, 2.5741)
Step 177, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.8494, 2.5682)
Step 178, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.8649, 2.5622)
Step 179, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.8804, 2.5561)
Step 180, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.8959, 2.5498)
Snapshot saved for time step 180.
Step 181, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.9113, 2.5435)
Step 182, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.9267, 2.5371)
Step 183, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.9420, 2.5306)
Step 184, Time = 0.18, ProbDensSum = 1.0000, Center = (-0.9573, 2.5240)
Step 185, Time = 0.19, ProbDensSum = 1.0000, Center = (-0.9725, 2.5173)
Step 186, Time = 0.19, ProbDensSum = 1.0000, Center = (-0.9877, 2.5105)
Step 187, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.0028, 2.5037)
Step 188, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.0179, 2.4967)
Step 189, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.0329, 2.4896)
Step 190, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.0479, 2.4825)
Snapshot saved for time step 190.
Step 191, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.0628, 2.4752)
Step 192, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.0777, 2.4679)
Step 193, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.0925, 2.4604)
Step 194, Time = 0.19, ProbDensSum = 1.0000, Center = (-1.1072, 2.4529)
Step 195, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.1219, 2.4453)
Step 196, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.1366, 2.4376)
Step 197, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.1511, 2.4298)
Step 198, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.1657, 2.4219)
Step 199, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.1802, 2.4139)
Step 200, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.1946, 2.4059)
Snapshot saved for time step 200.
Step 201, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.2089, 2.3977)
Step 202, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.2232, 2.3895)
Step 203, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.2375, 2.3812)
Step 204, Time = 0.20, ProbDensSum = 1.0000, Center = (-1.2516, 2.3727)
Step 205, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.2658, 2.3642)
Step 206, Time = 0.21, ProbDensSum = 1.0000, Center = (-1.2798, 2.3557)
